iid,institute_name,city,state
1,"Assam University, Silchar",Silchar,
2,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Gwalior,
3,"Birla Institute of Technology, Mesra,  Ranchi",Ranchi,
4,"Central institute of Technology Kokrajar, Assam",Assam,
5,"Central University of Rajasthan, Rajasthan",Ajmer,
6,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,
7,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",Malda,
8,"Gurukula Kangri Vishwavidyalaya, Haridwar",Haridwar,
9,HNB Garhwal University Srinagar (Garhwal),Srinagar,
10,"Indian Institute of Engineering Science and Technology, Shibpur",Shibpur,
11,Indian Institute of Information Technology  Manipur,Manipur,
12,Indian Institute of Information Technology (IIIT) Pune,Pune,
13,Indian Institute of Information Technology (IIIT) Nagpur,Nagpur,
14,Indian Institute of Information Technology (IIIT) Ranchi,Ranchi,
15,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Chittoor,
16,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Kota,
17,Indian Institute of Information Technology Bhagalpur,Bhagalpur,
18,Indian Institute of Information Technology Bhopal,Bhopal,
19,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Kurnool,
20,Indian Institute of Information Technology Guwahati,Guwahati,
21,Indian Institute of Information Technology Lucknow,Lucknow,
22,"Indian Institute of Information Technology Srirangam, Tiruchirappalli",Tiruchirappalli,
23,Indian Institute of Information Technology Surat,Surat,
24,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Una,
25,Indian Institute of Information Technology(IIIT) Dharwad,Dharwad,
26,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",Kalyani,
27,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Sonepat,
28,Indian Institute of Information Technology(IIIT) Kottayam,Kottayam,
29,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Vadodara,
30,"Indian Institute of Information Technology, Agartala",Agartala,
31,"Indian Institute of Information Technology, Allahabad",Allahabad,
32,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Kancheepuram,
33,"Indian institute of information technology, Raichur, Karnataka",Raichur,
34,"Institute of Infrastructure, Technology, Research and Management-êAhmedabad",Ahmedabad,
35,"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)",Bilaspur,
36,"International Institute of Information Technology, Bhubaneswar",Bhubaneswar,
37,"International Institute of Information Technology, Naya Raipur",Naya Raipur,
38,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad-Allahabad",Allahabad,
39,"Jawaharlal Nehru University, Delhi",Delhi,
40,Malaviya National Institute of Technology Jaipur,Jaipur,
41,Maulana Azad National Institute of Technology Bhopal,Bhopal,
42,"Mizoram University, Aizawl",Aizawl,
43,Motilal Nehru National Institute of Technology Allahabad,Allahabad,
44,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Aurangabad,
45,"National Institute of Food Technology Entrepreneurship and Management, Sonepat, Haryana",Haryana,
46,"National Institute of Foundry & Forge Technology, Hatia, Ranchi",Ranchi,
47,National Institute of Technology  Agartala,Agartala,
48,National Institute of Technology Arunachal Pradesh,Arunachal Pradesh,
49,National Institute of Technology Calicut,Calicut,
50,National Institute of Technology Delhi,Delhi,
51,National Institute of Technology Durgapur,Durgapur,
52,National Institute of Technology Goa,Goa,
53,National Institute of Technology Hamirpur,Hamirpur,
54,"National Institute of Technology Karnataka, Surathkal",Karnataka,
55,National Institute of Technology Meghalaya,Meghalaya,
56,National Institute of Technology Nagaland,Nagaland,
57,National Institute of Technology Patna,Patna,
58,National Institute of Technology Puducherry,Puducherry,
59,National Institute of Technology Raipur,Raipur,
60,National Institute of Technology Sikkim,Sikkim,
61,"National Institute of Technology, Andhra Pradesh",Andhra Pradesh,
62,"National Institute of Technology, Jamshedpur",Jamshedpur,
63,"National Institute of Technology, Kurukshetra",Kurukshetra,
64,"National Institute of Technology, Manipur",Manipur,
65,"National Institute of Technology, Mizoram",Mizoram,
66,"National Institute of Technology, Rourkela",Rourkela,
67,"National Institute of Technology, Silchar",Silchar,
68,"National Institute of Technology, Srinagar",Srinagar,
69,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,
70,"National Institute of Technology, Uttarakhand",Uttarakhand,
71,"National Institute of Technology, Warangal",Warangal,
72,"Pondicherry Engineering College, Puducherry",Puducherry,
73,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Jabalpur,
74,"Punjab Engineering College, Chandigarh",Chandigarh,
75,Sant Longowal Institute of Engineering and Technology,,
76,"Sardar Vallabhbhai National Institute of Technology, Surat",Surat,
77,"School of Engineering, Tezpur University, Napaam, Tezpur",Tezpur,
78,"School of Planning & Architecture, Bhopal",Bhopal,
79,"School of Planning & Architecture, New Delhi",New Delhi,
80,School of Planning & Architecture: Vijayawada,Vijayawada,
81,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Katra,
82,University of Hyderabad,Hyderabad,
83,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,
84,"AMITY UNIVERSITY, NOIDA",NOIDA,
85,"Thapar Institute of Engineering and Technology, Patiala",Patiala,
86,"The LNM Institute of Information Technology, Jaipur",Jaipur,
87,"Nirma University, Ahmedabad",Ahmedabad,
88,"Dr. K.N Modi Group Of Institutions, Modinagar",Modinagar,
89,JK Lakshmipat University,,
90,"JAGANNATH UNIVERSITY, JAIPUR",JAIPUR,
91,Delhi College of Technology and Management,Delhi,
92,Dr. A.P.J Abdul Kalam Technical University,,
93,"College of Engineering and Technology, Bhubaneswar",Bhubaneswar,
94,"College of Engineering and Technology, SSC, Bhubaneswar",Bhubaneswar,
95,"College of Engineering, Bhawanipatna",Bhawanipatna,
96,"College of Engineering, Keorjhar",Keorjhar,
97,"Indira Gandhi Institute of Technology, Sarang",Sarang,
98,Techno India University,,
99,Alliance College of Engineering & Technology,,
100,"SASTRA UNIVERSITY, THANJAVUR",THANJAVUR,
101,"SSN COLLEGE OF ENGINEERING - [SSNCE], CHENNAI",CHENNAI,
102,"Jaypee Institute of Information Technology (Sector-62 Campus), Noida",Noida,
103,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING - [BVCOE] LAVALE, PUNE",PUNE,
104,"CV Raman Global University, [CGU] Bhubaneswar",Bhubaneswar,
105,"GITAM, VISAKHAPATNAM",VISAKHAPATNAM,
106,"Jaypee Institute of Information Technology (JIIT), Noida",Noida,
107,"Dr. Vishwanath Karad MIT World Peace University, Pune",Pune,
108,"Army Institute of Technology (AIT), Pune",Pune,
109,"Madhav Institute of Technology and Science, Gwalior",Gwalior,
